match_id,team,player,x,y,outcome,body_part,shot_type
16095,Levante UD,José Ángel Gómez Campaña,104.7,36.0,Blocked,Left Foot,Open Play
16095,Barcelona,Luis Alberto Suárez Díaz,112.0,50.1,Saved,Right Foot,Open Play
16095,Levante UD,Enis Bardhi,89.5,34.7,Saved,Right Foot,Free Kick
16095,Barcelona,Lionel Andrés Messi Cuccittini,115.3,37.7,Goal,Left Foot,Open Play
16095,Levante UD,Erick Cathriel Cabaco Almada,115.8,31.3,Blocked,Right Foot,Open Play
16095,Barcelona,Arthur Henrique Ramos de Oliveira Melo,94.0,36.8,Saved,Right Foot,Open Play
16095,Levante UD,Enis Bardhi,91.7,45.5,Off T,Right Foot,Open Play
16095,Levante UD,Sanjin Prcić,90.4,45.9,Wayward,Right Foot,Open Play
16095,Levante UD,José Ángel Gómez Campaña,91.3,28.3,Off T,Right Foot,Open Play
16095,Barcelona,Lionel Andrés Messi Cuccittini,95.3,48.2,Off T,Left Foot,Free Kick
16095,Levante UD,Sanjin Prcić,94.9,40.7,Off T,Right Foot,Open Play
16095,Barcelona,Luis Alberto Suárez Díaz,103.3,43.8,Off T,Right Foot,Open Play
16095,Levante UD,Borja Mayoral Moya,105.9,50.2,Saved,Right Foot,Open Play
16095,Levante UD,David Remeseiro Salgueiro,100.3,46.3,Off T,Right Foot,Open Play
16095,Barcelona,Philippe Coutinho Correia,101.2,36.0,Off T,Right Foot,Open Play
16095,Barcelona,Denis Suárez Fernández,109.5,48.5,Saved,Right Foot,Open Play
16095,Levante UD,Sanjin Prcić,100.0,42.7,Blocked,Left Foot,Open Play
16095,Barcelona,Gerard Piqué Bernabéu,109.4,37.4,Goal,Left Foot,Open Play
16095,Levante UD,Sanjin Prcić,95.0,39.7,Saved,Right Foot,Open Play
16120,Getafe,Ángel Luis Rodríguez Díaz,103.7,48.2,Off T,Right Foot,Open Play
16120,Getafe,Vitorino Gabriel Pacheco Antunes,91.0,33.7,Wayward,Left Foot,Open Play
16120,Barcelona,Lionel Andrés Messi Cuccittini,108.5,34.0,Saved,Left Foot,Open Play
16120,Barcelona,Lionel Andrés Messi Cuccittini,117.0,31.0,Goal,Left Foot,Open Play
16120,Barcelona,Luis Alberto Suárez Díaz,117.0,52.0,Saved,Right Foot,Open Play
16120,Barcelona,Gerard Piqué Bernabéu,114.4,35.3,Saved,Left Foot,Open Play
16120,Barcelona,Luis Alberto Suárez Díaz,103.6,31.7,Blocked,Right Foot,Open Play
16120,Barcelona,Luis Alberto Suárez Díaz,100.5,46.9,Goal,Right Foot,Open Play
16120,Getafe,Mauro Wilney Arambarri Rosa,106.8,35.1,Wayward,Right Foot,Open Play
16120,Getafe,Ángel Luis Rodríguez Díaz,102.6,43.9,Off T,Right Foot,Open Play
16120,Getafe,Jaime Mata Arnaiz,118.7,39.4,Goal,Right Foot,Open Play
16120,Getafe,Mauro Wilney Arambarri Rosa,90.9,45.2,Off T,Right Foot,Open Play
16120,Getafe,Ángel Luis Rodríguez Díaz,112.8,51.6,Off T,Right Foot,Open Play
16120,Barcelona,Lionel Andrés Messi Cuccittini,106.1,31.1,Saved,Right Foot,Open Play
16120,Getafe,Leandro Daniel Cabrera Sasía,111.7,35.9,Saved,Head,Open Play
16120,Getafe,Vitorino Gabriel Pacheco Antunes,90.0,29.1,Blocked,Left Foot,Open Play
16120,Barcelona,Lionel Andrés Messi Cuccittini,95.8,30.9,Off T,Left Foot,Free Kick
16120,Barcelona,Lionel Andrés Messi Cuccittini,101.3,42.5,Saved,Left Foot,Open Play
16120,Getafe,Jorge Molina Vidal,107.4,29.0,Blocked,Left Foot,Open Play
16120,Barcelona,Lionel Andrés Messi Cuccittini,92.9,40.1,Saved,Left Foot,Open Play
16120,Barcelona,Clément Lenglet,114.1,38.7,Off T,Head,Open Play
16120,Barcelona,Lionel Andrés Messi Cuccittini,88.3,51.0,Off T,Left Foot,Free Kick
16120,Barcelona,Luis Alberto Suárez Díaz,115.2,53.4,Blocked,Right Foot,Open Play
16131,Eibar,Sergio Enrich Ametller,112.3,48.1,Wayward,Right Foot,Open Play
16131,Eibar,José Ángel Valdés Díaz,97.9,25.5,Blocked,Right Foot,Open Play
16131,Eibar,Anaitz Arbilla Zabala,108.2,41.9,Wayward,Head,Open Play
16131,Barcelona,Luis Alberto Suárez Díaz,107.2,29.2,Goal,Right Foot,Open Play
16131,Eibar,Gonzalo Escalante,99.3,42.3,Blocked,Left Foot,Open Play
16131,Eibar,Sergio Enrich Ametller,107.9,43.0,Off T,Head,Open Play
16131,Barcelona,Sergi Roberto Carnicer,112.5,48.2,Off T,Head,Open Play
16131,Eibar,Fabián Ariel Orellana Valenzuela,95.4,47.8,Off T,Left Foot,Open Play
16131,Barcelona,Lionel Andrés Messi Cuccittini,110.5,30.6,Goal,Left Foot,Open Play
16131,Eibar,Joan Jordán Moreno,98.7,27.7,Blocked,Right Foot,Open Play
16131,Eibar,Pedro Bigas Rigo,107.1,31.8,Off T,Left Foot,Open Play
16131,Barcelona,Luis Alberto Suárez Díaz,111.9,40.9,Saved,Head,Open Play
16131,Barcelona,Philippe Coutinho Correia,117.0,28.1,Saved,Left Foot,Open Play
16131,Barcelona,Lionel Andrés Messi Cuccittini,101.1,37.7,Saved,Left Foot,Open Play
16131,Barcelona,Luis Alberto Suárez Díaz,115.0,52.2,Goal,Right Foot,Open Play
16131,Eibar,Sergio Enrich Ametller,112.9,37.5,Off T,Head,Open Play
16131,Eibar,Gonzalo Escalante,116.7,46.2,Off T,Right Foot,Open Play
16131,Eibar,Pablo Ezequiel De Blasis,111.0,32.5,Saved,Head,Open Play
16131,Eibar,Enrique García Martínez,115.9,24.0,Saved,Left Foot,Open Play
16131,Eibar,Fabián Ariel Orellana Valenzuela,114.9,47.7,Wayward,Right Foot,Open Play
16131,Eibar,Enrique García Martínez,115.0,48.5,Off T,Right Foot,Open Play
16131,Eibar,Papa Kouly Diop,94.3,35.9,Blocked,Left Foot,Open Play
16131,Eibar,Anaitz Arbilla Zabala,110.5,44.1,Off T,Head,Open Play
19717,Arsenal WFC,Vivianne Miedema,111.0,46.0,Blocked,Right Foot,Open Play
19717,Arsenal WFC,Vivianne Miedema,115.0,44.0,Goal,Right Foot,Open Play
19717,Arsenal WFC,Lisa Evans,111.0,43.0,Goal,Right Foot,Open Play
19717,Arsenal WFC,Danielle van de Donk,105.0,40.0,Blocked,Left Foot,Open Play
19717,Liverpool WFC,Laura Coombs,97.0,51.0,Blocked,Left Foot,Open Play
19717,Liverpool WFC,Christie Murray,109.0,44.0,Blocked,Right Foot,Open Play
19717,Arsenal WFC,Vivianne Miedema,107.0,28.0,Saved,Right Foot,Open Play
19717,Arsenal WFC,Katie McCabe,97.0,28.0,Blocked,Left Foot,Open Play
19717,Arsenal WFC,Louise Quinn,111.0,37.0,Wayward,Head,Open Play
19717,Arsenal WFC,Louise Quinn,112.0,47.0,Off T,Head,Open Play
19717,Liverpool WFC,Christie Murray,100.0,56.0,Saved,Left Foot,Open Play
19717,Arsenal WFC,Kim Little,110.0,31.0,Goal,Left Foot,Open Play
19717,Arsenal WFC,Vivianne Miedema,108.0,35.0,Blocked,Left Foot,Open Play
19717,Arsenal WFC,Vivianne Miedema,113.0,40.0,Blocked,Right Foot,Open Play
19717,Arsenal WFC,Bethany Mead,115.0,49.0,Post,Right Foot,Open Play
19717,Liverpool WFC,Rinsola Babajide,96.0,43.0,Off T,Left Foot,Open Play
