match_id,team,player,x,y,outcome,body_part,shot_type,is_goal,is_header,distance,angle,xG
16131,Eibar,Pedro Bigas Rigo,107.1,31.8,Off T,Left Foot,Open Play,0,0,15.285614151874965,0.4050193433990759,0.1080200860742789
16131,Barcelona,Luis Alberto Suárez Díaz,111.9,40.9,Saved,Head,Open Play,0,1,8.14984662432367,0.8411434187264735,0.210987182993402
16131,Barcelona,Philippe Coutinho Correia,117.0,28.1,Saved,Left Foot,Open Play,0,0,12.2723265927859,0.1586957374294029,0.09795858955031793
16131,Barcelona,Lionel Andrés Messi Cuccittini,101.1,37.7,Saved,Left Foot,Open Play,0,0,19.03943276465977,0.3773075242015306,0.08947760939158694
16131,Barcelona,Luis Alberto Suárez Díaz,115.0,52.2,Goal,Right Foot,Open Play,1,0,13.18483977907961,0.2242786960474335,0.10007479466835462
16131,Eibar,Sergio Enrich Ametller,112.9,37.5,Off T,Head,Open Play,0,1,7.52728370662352,0.8765760812777422,0.22225545333404062
16131,Eibar,Gonzalo Escalante,116.7,46.2,Off T,Right Foot,Open Play,0,0,7.023531875061152,0.5918407759844097,0.1792106985100364
16131,Eibar,Pablo Ezequiel De Blasis,111.0,32.5,Saved,Head,Open Play,0,1,11.71537451385998,0.4888523543277481,0.1354945207192966
16131,Eibar,Enrique García Martínez,115.9,24.0,Saved,Left Foot,Open Play,0,0,16.516960979550685,0.1151792911997888,0.07806860158580448
16131,Eibar,Fabián Ariel Orellana Valenzuela,114.9,47.7,Wayward,Right Foot,Open Play,0,0,9.235799911215054,0.4788809884286193,0.14875919287149686
16131,Eibar,Enrique García Martínez,115.0,48.5,Off T,Right Foot,Open Play,0,0,9.86154146165801,0.4115462916285968,0.1366025950380671
16131,Eibar,Papa Kouly Diop,94.3,35.9,Blocked,Left Foot,Open Play,0,0,26.024987992312315,0.2761217728531304,0.059530071217946845
16131,Eibar,Anaitz Arbilla Zabala,110.5,44.1,Off T,Head,Open Play,0,1,10.34698023579827,0.638643768621085,0.16339729000567751
19717,Arsenal WFC,Vivianne Miedema,111.0,46.0,Blocked,Right Foot,Open Play,0,0,10.816653826391969,0.5663851413815625,0.15056559269937245
19717,Arsenal WFC,Vivianne Miedema,115.0,44.0,Goal,Right Foot,Open Play,1,0,6.4031242374328485,0.9246007898211284,0.24065638259291322
19717,Arsenal WFC,Lisa Evans,111.0,43.0,Goal,Right Foot,Open Play,1,0,9.486832980505138,0.7102726283635808,0.17974947685194798
19717,Arsenal WFC,Danielle van de Donk,105.0,40.0,Blocked,Left Foot,Open Play,0,0,15.0,0.4786473619894159,0.11695863506904544
19717,Liverpool WFC,Laura Coombs,97.0,51.0,Blocked,Left Foot,Open Play,0,0,25.495097567963924,0.2585463821558603,0.05994305282204929
19717,Liverpool WFC,Christie Murray,109.0,44.0,Blocked,Right Foot,Open Play,0,0,11.704699910719626,0.5773820270241233,0.14660137550510877
19717,Arsenal WFC,Vivianne Miedema,107.0,28.0,Saved,Right Foot,Open Play,0,0,17.69180601295413,0.3075414696606731,0.0888987457718453
19717,Arsenal WFC,Katie McCabe,97.0,28.0,Blocked,Left Foot,Open Play,0,0,25.942243542145693,0.2499079770632643,0.0582537035205238
19717,Arsenal WFC,Louise Quinn,111.0,37.0,Wayward,Head,Open Play,0,1,9.486832980505138,0.7102726283635808,0.17974947685194798
19717,Arsenal WFC,Louise Quinn,112.0,47.0,Off T,Head,Open Play,0,1,10.63014581273465,0.531494129225016,0.14714688791952182
19717,Liverpool WFC,Christie Murray,100.0,56.0,Saved,Left Foot,Open Play,0,0,25.612496949731398,0.2239996924068304,0.05766142234702242
19717,Arsenal WFC,Kim Little,110.0,31.0,Goal,Left Foot,Open Play,1,0,13.45362404707371,0.4117746385398368,0.11751789600360629
19717,Arsenal WFC,Vivianne Miedema,108.0,35.0,Blocked,Left Foot,Open Play,0,0,13.0,0.5139138642448875,0.1313438629524676
19717,Arsenal WFC,Vivianne Miedema,113.0,40.0,Blocked,Right Foot,Open Play,0,0,7.0,0.963531343073726,0.242751165546184
19717,Arsenal WFC,Bethany Mead,115.0,49.0,Post,Right Foot,Open Play,0,0,10.295630140987,0.3763872109696879,0.13000931739820273
19717,Liverpool WFC,Rinsola Babajide,96.0,43.0,Off T,Left Foot,Open Play,0,0,24.186773244895647,0.2981820230660619,0.06605972742350152
19717,Liverpool WFC,Rinsola Babajide,89.0,42.0,Blocked,Left Foot,Open Play,0,0,31.064449134018133,0.2340887580382697,0.04541973188707709
19717,Liverpool WFC,Christie Murray,90.0,39.0,Off T,Right Foot,Open Play,0,0,30.01666203960727,0.2425371939646118,0.04804956776957549
19717,Arsenal WFC,Jordan Nobbs,110.0,53.0,Saved,Right Foot,Open Play,0,0,16.401219466856727,0.2789150655431878,0.09156784209264628
19717,Arsenal WFC,Vivianne Miedema,114.0,34.0,Blocked,Left Foot,Open Play,0,0,8.48528137423857,0.6431373508951367,0.17666777284790997
19717,Arsenal WFC,Vivianne Miedema,104.0,41.0,Blocked,Left Foot,Open Play,0,0,16.0312195418814,0.4481533108517188,0.10885285286132357
19717,Arsenal WFC,Jordan Nobbs,93.0,44.0,Saved,Right Foot,Open Play,0,0,27.29468812791236,0.2638479063890178,0.055538087502306634
